St1,St_1,St2,St_2,City,Zip,Long,Lat
10E ((SANIBEL-SANIBEL)),10E,9E ((SANIBEL-SANIBEL)),9E,SANIBEL,33957,-82.040825239000000,26.444167998899999
10E ((SANIBEL-SANIBEL)),10E,PERIWINKLE PARK ((SANIBEL-SANIBEL)),PERIWINKLE PARK,SANIBEL,33957,-82.041668061300001,26.443475369400002
10TH CT ((LEHIGH ACRES-LEHIGH ACRES)),10TH CT,GERALD AVE ((LEHIGH ACRES-LEHIGH ACRES)),GERALD AVE,LEHIGH ACRES,33936,-81.599684130499995,26.638048831700001
10TH CT W ((LEHIGH ACRES-LEHIGH ACRES)),10TH CT W,TENA AVE N ((LEHIGH ACRES-LEHIGH ACRES)),TENA AVE N,LEHIGH ACRES,33971,-81.691023854899996,26.622673380500000
10TH PL ((LEHIGH ACRES-LEHIGH ACRES)),10TH PL,GERALD AVE ((LEHIGH ACRES-LEHIGH ACRES)),GERALD AVE,LEHIGH ACRES,33936,-81.599645082300000,26.637105843000001
10TH ST ((NORTH FORT MYERS-NORTH FORT MYERS)),10TH ST,AVENUE A ((NORTH FORT MYERS-NORTH FORT MYERS)),AVENUE A,NORTH FORT MYERS,33903,-81.922070057599996,26.748800065699999
10TH ST ((NORTH FORT MYERS-NORTH FORT MYERS)),10TH ST,AVENUE B ((NORTH FORT MYERS-NORTH FORT MYERS)),AVENUE B,NORTH FORT MYERS,33903,-81.921759187500001,26.748124924599999
10TH ST E ((BOCA GRANDE-BOCA GRANDE)),10TH ST E,EAST RAILROAD AVE ((BOCA GRANDE-BOCA GRANDE)),EAST RAILROAD AVE,BOCA GRANDE, ,-82.263019323699993,26.756254912199999
10TH ST E ((BOCA GRANDE-BOCA GRANDE)),10TH ST E,PALM AVE ((BOCA GRANDE-BOCA GRANDE)),PALM AVE,BOCA GRANDE,33921,-82.262224282299997,26.756339885199999
10TH ST SW ((LEHIGH ACRES-LEHIGH ACRES)),10TH ST SW,ANITA AVE S ((LEHIGH ACRES-LEHIGH ACRES)),ANITA AVE S,LEHIGH ACRES,33976,-81.663187089399997,26.604152907400000
10TH ST SW ((LEHIGH ACRES-LEHIGH ACRES)),10TH ST SW,BRUCE AVE S ((LEHIGH ACRES-LEHIGH ACRES)),BRUCE AVE S,LEHIGH ACRES,33976,-81.699933111999997,26.603929824600002
10TH ST SW ((LEHIGH ACRES-LEHIGH ACRES)),10TH ST SW,CONNIE AVE S ((LEHIGH ACRES-LEHIGH ACRES)),CONNIE AVE S,LEHIGH ACRES,33976,-81.665478120100005,26.604148832600000
10TH ST SW ((LEHIGH ACRES-LEHIGH ACRES)),10TH ST SW,CURTIS AVE S ((LEHIGH ACRES-LEHIGH ACRES)),CURTIS AVE S,LEHIGH ACRES,33976,-81.705160133099994,26.603748830899999
10TH ST SW ((LEHIGH ACRES-LEHIGH ACRES)),10TH ST SW,DOUGLAS AVE S ((LEHIGH ACRES-LEHIGH ACRES)),DOUGLAS AVE S,LEHIGH ACRES,33976,-81.707762132699997,26.603654897399998
10TH ST SW ((LEHIGH ACRES-LEHIGH ACRES)),10TH ST SW,ELVA AVE S ((LEHIGH ACRES-LEHIGH ACRES)),ELVA AVE S,LEHIGH ACRES,33976,-81.668089102300002,26.604140862300000
